Dossiernummer;Projectcode;Dossier datum aanvraag;Dossier dienst;Dossiertype;Dossier districten;Dossier cluster;Dossier onderwerp;Aard der werken;Bouwheer;Dossierverantwoordelijke voornaam + naam;Ontwerper voornaam + naam;Ingenieur voornaam + naam;Partners;Beleidsdoelstellingen;Dossier extra kenmerk;Totaal raming intern;Dossier status;Dossier toestand;Dossier klasse;Dossier actieve fases;Status planning;Actief planningsblok;Meerjarenplanning?;Jaartal meerjarenplanning;Klasse ontwerp;Subklasse ontwerp;Geplande startdatum ontwerp;Geplande einddatum ontwerp;Effectieve einddatum ontwerp;Klasse gunning;Subklasse gunning;Geplande startdatum Gunning;Geplande einddatum Gunning;Effectieve einddatum Gunning;Geplande startdatum Werf;Effectieve startdatum werf;Geplande einddatum Werf;Effectieve einddatum Werf;Dossier einddatum;Sperperiode?;Einddatum sperperiode;URL A-stad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10005;P03417;09-05-2012;Publieke Ruimte;Investeringsproject;Ekeren;Noord;Driehoekstraat, Geestenspoor (parking bierpruver);Aanleg groenzone, Aanleg verlichting, Grondverwerking, Wegeniswerken;DISTRICT EKEREN ;Machteld Raes;Jill Buytaert;Isabelle Declerck;DISTRICT EKEREN ;ondernemen en stadsmarketing,1SLW05,1SLW0503,1SLW050303;PRIORITEIT UITVOERING 2014;113.639,87;Op Schema;Afgesloten;Uitvoering intern;;Voltooid;;Ja;2014;Intern;Medium;13-08-2012;20-08-2013;15-05-2013;Intern;Open aanbesteding;27-08-2013;24-09-2014;14-10-2014;05-01-2015;05-01-2015;23-03-2015;27-02-2015;20-11-2018;Ja;27-02-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10006;;09-05-2012;Publieke Ruimte;Investeringsproject;Borgerhout;Zuid;Drink;Tekenopdracht, Wegeniswerken;;;Jaana Perdieus;Kristel Drubbel;DISTRICT BORGERHOUT ;;;;Op Schema;Afgesloten;Interne gunning;;;;;;;;;;;;;;;;;;;;20-08-2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10007;P03092;09-05-2012;Publieke Ruimte;Investeringsproject;Borgerhout;Zuid;Examenstraat, Gijselsstraat;Aanleg verlichting, Rioleringswerken, Veiligheidscoördinator verwezenlijking, Wegeniswerken;DISTRICT BORGERHOUT ;Kristel Drubbel;Katleen De Boe;Kristel Drubbel;DISTRICT BORGERHOUT , RIO-LINK NV;district Borgerhout,1SBO05,1SBO0501,1SBO050102/ stadsontwikkeling,1SWN05,1SWN0503,1SWN050304;PRIORITEIT UITVOERING 2014;260.789,44;Op Schema;Afgesloten;Uitvoering intern;;Voltooid;;Ja;2014;Intern;Medium;01-06-2011;22-10-2012;23-04-2014;Intern;Open aanbesteding;23-04-2014;23-01-2015;23-01-2015;18-08-2015;17-08-2015;11-03-2016;18-03-2016;27-08-2020;Ja;18-03-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10009;;09-05-2012;Publieke Ruimte;Investeringsproject;Wilrijk;Zuid;Terbekehofdreef;Tekenopdracht, Wegeniswerken;STAD ANTWERPEN DISTRICT WILRIJK;;Katleen De Boe;Jens Van Damme;STAD ANTWERPEN DISTRICT WILRIJK;;PRIORITEIT UITVOERING 2013;;Plandatum overschreden;Stopgezet;Intern ontwerp - Extra Small (oud);Definitief ontwerp;;;;;;;;;;;;;;;;;;;09-10-2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10010;P05257;09-05-2012;Publieke Ruimte;Investeringsproject;Berendrecht-Zandvliet-Lillo;Noord;Ruytermansweg (aanleg voetpad (betontegels) op bestaande rijweg (asfalt));Rioleringswerken, Wegeniswerken;DISTRICT BERENDRECHT-ZANDVLIET-LILLO NVT;marcello serrao;Paule O'Kelly de Galway;Peter De Pauw;DISTRICT BERENDRECHT-ZANDVLIET-LILLO NVT;district Berendrecht, Zandvliet, Lillo,1SBL01,1SBL0102,1SBL010201;PRIORITEIT UITVOERING 2015;39.308,24;Op Schema;Afgesloten;Uitvoering intern;;Voltooid;;Ja;2016;Intern;Extra small;01-03-2015;01-05-2015;14-09-2015;Intern;Deelopdracht;14-09-2015;08-12-2015;15-02-2016;21-03-2016;18-03-2016;11-04-2016;07-04-2016;15-02-2019;Ja;07-04-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10011;;09-05-2012;Publieke Ruimte;Investeringsproject;Merksem;Noord;Merksemheidelaan, Winkelstap;Tekenopdracht, Wegeniswerken;DISTRICT MERKSEM ;;;Bart Serraris;DISTRICT MERKSEM ;;;;Plandatum overschreden;Stopgezet;Intake;Intake;;;;;;;;;;;;;;;;;;;27-08-2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10012;M00001;09-05-2012;Publieke Ruimte;Investeringsproject;Berchem;Zuid;Fruithoflaan;Rioleringswerken, Tekenopdracht, Wegeniswerken;;;Emmy Camps;Julie Weyts;AQUAFIN, ARCADIS BELGIUM, STAD ANTWERPEN DISTRICT BERCHEM;ondernemen en stadsmarketing,1SLW05,1SLW0503,1SLW050303;;;Plandatum overschreden;Stopgezet;Ontwerp door partner;Projectdefinitie;;;;;;;;;;;;;;;;;;;19-03-2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10013;M01549;09-05-2012;Publieke Ruimte;Investeringsproject;Wilrijk;Zuid;Zwaantjesstraat (districtenroute);Aanleg groenzone, Aanleg verlichting, Veiligheidscoördinator ontwerp, Veiligheidscoördinator verwezenlijking, Wegeniswerken;DISTRICT WILRIJK ;Patrick Cuyvers;Emmy Camps;Danny Busschots;DISTRICT WILRIJK ;district Wilrijk,1SWI01,1SWI0102,1SWI010201/ District Wilrijk,2WIL01,2WIL0107,2WIL010701;PRIORITEIT UITVOERING 2016;167.893,80;Op Schema;Afgesloten;Uitvoering intern;;Voltooid;;Ja;2015;Intern;Medium;02-08-2012;19-10-2014;02-03-2015;Intern;Open aanbesteding;15-01-2015;31-03-2016;07-12-2015;23-05-2016;16-05-2016;08-08-2016;08-07-2016;28-03-2023;Ja;08-07-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10014;P03161;09-05-2012;Publieke Ruimte;Investeringsproject;Hoboken;Zuid;Lageweg, Meetjeslandstraat (met pleintje - prioriteit district);Aanleg groenzone, Aanleg speelterrein, Aanleg sportterrein, Aanleg verlichting, Bodemonderzoek, Veiligheidscoördinator ontwerp, Veiligheidscoördinator verwezenlijking, Wegeniswerken;DISTRICT HOBOKEN ;Lies Rousseau;Pascale Maes;Remy Van Rossem;DISTRICT HOBOKEN ;district Hoboken,1SHO01,1SHO0102,1SHO010201/ district Hoboken,1SHO01,1SHO0102,1SHO010202/ district Hoboken,1SHO05,1SHO0505,1SHO050502/ stadsontwikkeling,1SWN05,1SWN0503,1SWN050304/ stadsontwikkeling,1SWN05,1SWN0503,1SWN050305/ stadsontwikkeling,1SWN05,1SWN0504,1SWN050402;PRIORITEIT UITVOERING 2017;600.000,00;Plandatum overschreden;Lopend;Uitvoering intern;Natraject;Voltooid;;Ja;2016;Intern;Medium;09-07-2012;04-07-2016;28-06-2016;Intern;Open aanbesteding;04-07-2016;14-06-2017;16-05-2017;25-09-2017;24-09-2017;30-04-2018;23-05-2018;;Ja;23-05-2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10015;00000;09-05-2012;Publieke Ruimte;Investeringsproject;Wilrijk;Zuid;Kerkelei (thv school hnr. 39-41);Wegeniswerken;DISTRICT WILRIJK ;Patrick Cuyvers;;Danny Busschots;DISTRICT WILRIJK , STAD ANTWERPEN;;PRIORITEIT UITVOERING 2016;114.840,00;Plandatum overschreden;In wacht;Intern ontwerp;Projectdefinitie;Planningsprobleem;Ontwerp;Ja;2016;Intern;Small;02-01-2015;05-10-2015;;Intern;Deelopdracht;05-10-2015;29-12-2015;;19-10-2015;;18-11-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
