;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Dossier O&U planning;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Startdatum rapportering: 03-01-2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Einddatum rapportering: 31-12-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rapportnaam: O&U planning;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uitvoertijd: 09-06-2025  8:00:08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dossiernummer;Projectcode;Dossier datum aanvraag;Dossier dienst;Dossiertype;Dossier districten;Dossier cluster;Dossier onderwerp;Aard der werken;Bouwheer;Dossierverantwoordelijke voornaam + naam;Ontwerper voornaam + naam;Ingenieur voornaam + naam;Partners;Beleidsdoelstellingen;Dossier extra kenmerk;Totaal raming intern;Dossier status;Dossier toestand;Dossier klasse;Dossier actieve fases;Status planning;Actief planningsblok;Meerjarenplanning?;Jaartal meerjarenplanning;Klasse ontwerp;Subklasse ontwerp;Geplande startdatum ontwerp;Geplande einddatum ontwerp;Effectieve einddatum ontwerp;Klasse gunning;Subklasse gunning;Geplande startdatum Gunning;Geplande einddatum Gunning;Effectieve einddatum Gunning;Geplande startdatum Werf;Effectieve startdatum werf;Geplande einddatum Werf;Effectieve einddatum Werf;Dossier einddatum;Sperperiode?;Einddatum sperperiode;URL A-stad
SWIG00001;;28-02-2025;SW Generiek;Investeringsproject_generiek;Deurne;;Krijgsbaan (Krijgsbaan (Hollebeek) - Aankoop gronden);Gebouwen;;;;;STAD ANTWERPEN GEMEENTE;;;0,00;Op Schema;Lopend;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10001;P05243;09-05-2012;Publieke Ruimte;Investeringsproject;Berendrecht-Zandvliet-Lillo;Noord;Hulkstraat;Aanleg verlichting, Rioleringswerken, Veiligheidscoördinator ontwerp, Veiligheidscoördinator verwezenlijking, Wegeniswerken;RIO-LINK NV;Frederick Bruneel;Tom Janssens;Peter De Pauw;DISTRICT BERENDRECHT-ZANDVLIET-LILLO NVT, RIO-LINK NV;district Berendrecht, Zandvliet, Lillo,1SBL01,1SBL0102,1SBL010201;PRIORITEIT UITVOERING 2015;88.199,76;Op Schema;Afgesloten;Uitvoering door partner;;Voltooid;;Ja;2015;Partner;Small;22-06-2012;21-02-2015;01-06-2015;Partner;Open aanbesteding - Medium;01-06-2015;27-01-2016;07-03-2016;08-08-2016;07-08-2016;03-10-2016;09-11-2016;23-05-2019;Ja;09-11-2021;
SWOU10002;;09-05-2012;Publieke Ruimte;Investeringsproject;Borgerhout;Zuid;Generaal Eisenhowerlei;Tekenopdracht, Wegeniswerken;DISTRICT BORGERHOUT ;;Katleen De Boe;Kristel Drubbel;DISTRICT BORGERHOUT ;;;;Op Schema;Stopgezet;Intern ontwerp - Extra Small (oud);Definitief ontwerp;;;;;;;;;;;;;;;;;;;25-09-2012;;;
SWOU10003;;09-05-2012;Publieke Ruimte;Investeringsproject;Wilrijk;Zuid;Scheidingstraat;Aanleg groenzone, Wegeniswerken;;;;Kristel Drubbel;STAD ANTWERPEN DISTRICT WILRIJK;;;;Op Schema;In wacht;Intake;Intake;;;;;;;;;;;;;;;;;;;;;;
SWOU10004;M01999;09-05-2012;Publieke Ruimte;Investeringsproject;Hoboken;Zuid;Dokter Van Raesstraat, Jules Destréestraat (riolering + voetpaden in onderhoud);Aanleg verlichting, Onderhoudswerken, Rioleringswerken;RIO-LINK NV;Lies Rousseau;Jaana Perdieus;Remy Van Rossem;DISTRICT HOBOKEN , RIO-LINK NV;district Hoboken,1SHO01,1SHO0102,1SHO010201/ district Hoboken,1SHO01,1SHO0102,1SHO010202/ Stad/OCMW,2LMS01,2LMS0101,2LMS010104/ Stad/OCMW,2LMS01,2LMS0104,2LMS010406;PRIORITEIT UITVOERING 2017;331.172,47;Op Schema;Afgesloten;Uitvoering door partner;;In bewerking;;Ja;2017;Partner;Medium;;;;Geen;Geen;;;;03-09-2018;03-09-2018;19-04-2019;06-03-2019;28-03-2023;Ja;06-03-2024;
SWOU10005;P03417;09-05-2012;Publieke Ruimte;Investeringsproject;Ekeren;Noord;Driehoekstraat, Geestenspoor (parking bierpruver);Aanleg groenzone, Aanleg verlichting, Grondverwerking, Wegeniswerken;DISTRICT EKEREN ;Machteld Raes;Jill Buytaert;Isabelle Declerck;DISTRICT EKEREN ;ondernemen en stadsmarketing,1SLW05,1SLW0503,1SLW050303;PRIORITEIT UITVOERING 2014;113.639,87;Op Schema;Afgesloten;Uitvoering intern;;Voltooid;;Ja;2014;Intern;Medium;13-08-2012;20-08-2013;15-05-2013;Intern;Open aanbesteding;27-08-2013;24-09-2014;14-10-2014;05-01-2015;05-01-2015;23-03-2015;27-02-2015;20-11-2018;Ja;27-02-2020;
SWOU10006;;09-05-2012;Publieke Ruimte;Investeringsproject;Borgerhout;Zuid;Drink;Tekenopdracht, Wegeniswerken;;;Jaana Perdieus;Kristel Drubbel;DISTRICT BORGERHOUT ;;;;Op Schema;Afgesloten;Interne gunning;;;;;;;;;;;;;;;;;;;;20-08-2012;;;
SWOU10007;P03092;09-05-2012;Publieke Ruimte;Investeringsproject;Borgerhout;Zuid;Examenstraat, Gijselsstraat;Aanleg verlichting, Rioleringswerken, Veiligheidscoördinator verwezenlijking, Wegeniswerken;DISTRICT BORGERHOUT ;Kristel Drubbel;Katleen De Boe;Kristel Drubbel;DISTRICT BORGERHOUT , RIO-LINK NV;district Borgerhout,1SBO05,1SBO0501,1SBO050102/ stadsontwikkeling,1SWN05,1SWN0503,1SWN050304;PRIORITEIT UITVOERING 2014;260.789,44;Op Schema;Afgesloten;Uitvoering intern;;Voltooid;;Ja;2014;Intern;Medium;01-06-2011;22-10-2012;23-04-2014;Intern;Open aanbesteding;23-04-2014;23-01-2015;23-01-2015;18-08-2015;17-08-2015;11-03-2016;18-03-2016;27-08-2020;Ja;18-03-2021;
SWOU10009;;09-05-2012;Publieke Ruimte;Investeringsproject;Wilrijk;Zuid;Terbekehofdreef;Tekenopdracht, Wegeniswerken;STAD ANTWERPEN DISTRICT WILRIJK;;Katleen De Boe;Jens Van Damme;STAD ANTWERPEN DISTRICT WILRIJK;;PRIORITEIT UITVOERING 2013;;Plandatum overschreden;Stopgezet;Intern ontwerp - Extra Small (oud);Definitief ontwerp;;;;;;;;;;;;;;;;;;;09-10-2013;;;
SWOU10010;P05257;09-05-2012;Publieke Ruimte;Investeringsproject;Berendrecht-Zandvliet-Lillo;Noord;Ruytermansweg (aanleg voetpad (betontegels) op bestaande rijweg (asfalt));Rioleringswerken, Wegeniswerken;DISTRICT BERENDRECHT-ZANDVLIET-LILLO NVT;marcello serrao;Paule O'Kelly de Galway;Peter De Pauw;DISTRICT BERENDRECHT-ZANDVLIET-LILLO NVT;district Berendrecht, Zandvliet, Lillo,1SBL01,1SBL0102,1SBL010201;PRIORITEIT UITVOERING 2015;39.308,24;Op Schema;Afgesloten;Uitvoering intern;;Voltooid;;Ja;2016;Intern;Extra small;01-03-2015;01-05-2015;14-09-2015;Intern;Deelopdracht;14-09-2015;08-12-2015;15-02-2016;21-03-2016;18-03-2016;11-04-2016;07-04-2016;15-02-2019;Ja;07-04-2021;
SWOU10011;;09-05-2012;Publieke Ruimte;Investeringsproject;Merksem;Noord;Merksemheidelaan, Winkelstap;Tekenopdracht, Wegeniswerken;DISTRICT MERKSEM ;;;Bart Serraris;DISTRICT MERKSEM ;;;;Plandatum overschreden;Stopgezet;Intake;Intake;;;;;;;;;;;;;;;;;;;27-08-2012;;;
